NSEcode,BSEcode,ISIN,full_name,industry_name,industry_id,sector_name,sector_id,TL_SCORE
RSCINT,530179,INE015F01019,RSC International Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
SURATEX,530185,INE936A01025,Surat Trade and Mercantile Ltd.,Textiles,119,Textiles Apparels & Accessories,8,49.426944444444444570763153024017810821533203125
ATHARVENT,530187,INE354E01031,Atharv Enterprises Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
BAGADIA,530197,INE365H01014,Fundviser Capital (India) Ltd.,Investment Companies,67,Others,14,
KALLAM,530201,INE629F01025,Kallam Textiles Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
BRAWN,530207,INE899B01015,Brawn Biotech Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,
FORINTL,530213,INE501D01013,Fortune International Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
KINGSINFR,530215,INE050N01010,Kings Infra Ventures Ltd.,Other Food Products,88,Food Beverages & Tobacco,4,39.18944444444444030750673846341669559478759765625
NUTRICIRCLE,530219,INE536C01029,Nutricircle Ltd.,Other Food Products,88,Food Beverages & Tobacco,4,
SUBSM,530231,INE690D01014,Subhash Silk Mills Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
AUROLAB,530233,INE292C01011,Auro Laboratories Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,67.587499166666674454972962848842144012451171875
KJMCFIN,530235,INE533C01018,KJMC Financial Services Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
ARYAMAN,530245,INE032E01017,Aryaman Financial Services Ltd.,Finance (including NBFCs),44,Banking and Finance,21,72.97805638888888779547414742410182952880859375
BRIDGESE,530249,INE958C01025,Bridge Securities Ltd.,Other Financial Services,87,Banking and Finance,21,
RISAINTL,530251,INE001O01029,Risa International Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
RAJTUBE,530253,INE497E01012,Rajasthan Tube Manufacturing Company Ltd.,Iron & Steel Products,69,Metals & Mining,13,
KAYPOWR,530255,INE961B01013,Kay Power And Paper Ltd.,Paper & Paper Products,96,Commercial Services & Supplies,25,60.38694527777777665278335916809737682342529296875
INTSTOIL,530259,INE003B01014,Inter State Oil Carrier Ltd.,Surface Transportation,113,Transportation,9,
GLOBALCA,530263,INE062C01042,Global Capital Markets Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
SAINIK,530265,INE584B01013,Sainik Finance & Industries Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
SABOOBR,530267,INE021N01011,Arigato Universe Ltd.,Industrial Machinery,62,General Industrials,24,
RICHUNV,530271,INE652D01014,Rich Universe Network Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
QUANTDIA,530281,INE373C01019,Quantum Digital Vision (India) Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,
SPCAPIT,530289,INE102F01015,S P Capital Financing Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
RAJAGRO,530291,INE791C01012,Paos Industries Ltd.,Edible Oils,37,FMCG,7,
PICCADIL,530305,INE546C01010,Piccadily Agro Industries Ltd.,Sugar,112,Food Beverages & Tobacco,4,64.0430563888888855217373929917812347412109375
CLSEL,530307,INE419D01026,Chaman Lal Setia Exports Ltd.,Other Agricultural Products,84,Food Beverages & Tobacco,4,48.22833333333333172276979894377291202545166015625
CHANDRAP,530309,INE368D01025,Chandra Prabhu International Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
LAURLOR,530313,INE285U01025,Kimia Biosciences Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,32.844165833333335058341617695987224578857421875
HINDTINWRK,530315,INE428D01019,Hindustan Tin Works Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,57.367776944444443643078557215631008148193359375
GODAVARI,530317,INE362C01012,Godavari Drugs Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,73.597777777777764640632085502147674560546875
PREMCO,530331,INE001E01012,Premco Global Ltd.,Textiles,119,Textiles Apparels & Accessories,8,65.431945277777771252658567391335964202880859375
MUKESHB,530341,INE596B01017,Mukesh Babu Financial Services Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
ASIANENE,530355,INE276G01015,Asian Energy Services Ltd.,Oil Equipment & Services,82,Oil & Gas,12,59.24416666666667197205242700874805450439453125
KBSINDIA,530357,INE883D01023,KBS India Ltd.,Other Financial Services,87,Banking and Finance,21,
SEAGOLD,530361,INE428P01013,Prabhhans Industries Ltd.,Special Consumer Services,108,Diversified Consumer Services,15,47.557776944444441369341802783310413360595703125
VAMSHIRU,530369,INE380C01014,Vamshi Rubber Ltd.,Auto Tyres & Rubber Products,10,Automobiles & Auto Components,20,
VINYOFL,530401,INE526H01011,Vinyoflex Ltd.,Plastic Products,101,General Industrials,24,
JINDCAP,530405,INE356F01017,Jindal Capital Ltd.,Finance (including NBFCs),44,Banking and Finance,21,
EPIC,530407,INE932F01015,EPIC Energy Ltd.,Electric Utilities,39,Utilities,28,
SUMEDHA,530419,INE886B01012,Sumedha Fiscal Services Ltd.,Other Financial Services,87,Banking and Finance,21,
KUWERIN,530421,INE430F01010,Kuwer Industries Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,
CHOKSI,530427,INE865B01016,Choksi Imaging Ltd.,Photographic Products,100,General Industrials,24,
ASHISHPO,530429,INE831C01016,Ashish Polyplast Ltd.,Plastic Products,101,General Industrials,24,
ADORFO,530431,INE853A01022,Ador Fontech Ltd.,Other Industrial Products,90,General Industrials,24,62.19027777777777288292782031930983066558837890625
