NSEcode,BSEcode,ISIN,full_name,industry_name,industry_id,sector_name,sector_id,TL_SCORE
20MICRONS,533022,INE144J01027,20 Microns Ltd.,Mining,77,Metals & Mining,13,75.6280563888888792689613183028995990753173828125
3IINFOLTD,532628,INE748C01038,3i Infotech Ltd.,IT Consulting & Software,70,Software & Services,1,33.77000083333333435575696057640016078948974609375
3MINDIA,523395,INE470A01017,3M India Ltd.,Industrial Machinery,62,General Industrials,24,64.0558324999999939564077067188918590545654296875
SECURKLOUD,512161,INE650K01021,Securekloud Technologies Ltd.,Internet Software & Services,66,Software & Services,1,
A2ZINFRA,533292,INE619I01012,A2Z Infra Engineering Ltd.,Construction & Engineering,26,Cement and Construction ,26,43.4094444444444462760657188482582569122314453125
AARTIDRUGS,524348,INE767A01016,Aarti Drugs Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,59.456945277777776937000453472137451171875
AARTIIND,524208,INE769A01020,Aarti Industries Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,38.1677769444444408009076141752302646636962890625
AARVEEDEN,514274,INE273D01019,Aarvee Denims and Exports Ltd.,Textiles,119,Textiles Apparels & Accessories,8,39.45750083333333435575696057640016078948974609375
ABAN,523204,INE421A01028,Aban Offshore Ltd.,Exploration & Production,41,Oil & Gas,12,
ABB,500002,INE117A01022,ABB India Ltd.,Heavy Electrical Equipment,54,General Industrials,24,66.8125
ABBOTINDIA,500488,INE358A01014,Abbott India Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,57.619445277777771252658567391335964202880859375
ACC,500410,INE012A01025,ACC Ltd.,Cement & Cement Products,18,Cement and Construction ,26,68.61305638888887870052712969481945037841796875
ACCELYA,532268,INE793A01012,Accelya Solutions India Ltd.,IT Consulting & Software,70,Software & Services,1,45.2430555555555571345394128002226352691650390625
ACE,532762,INE731H01025,Action Construction Equipment Ltd.,Construction & Engineering,26,Cement and Construction ,26,68.034167499999995243342709727585315704345703125
ADANIENT,512599,INE423A01024,Adani Enterprises Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
ADANIPORTS,532921,INE742F01042,Adani Ports & Special Economic Zone Ltd.,Marine Port & Services,75,Transportation,9,65.6780563888888906376450904645025730133056640625
ADANIPOWER,533096,INE814H01011,Adani Power Ltd.,Electric Utilities,39,Utilities,28,64.79722138888888594010495580732822418212890625
ADFFOODS,519183,INE982B01027,ADF Foods Ltd.,Packaged Foods,95,FMCG,7,58.6049991666666727496703970246016979217529296875
ADORWELD,517041,INE045A01017,Ador Welding Ltd.,Other Industrial Goods,89,General Industrials,24,44.152776944444440232473425567150115966796875
ADSL,532875,INE102I01027,Allied Digital Services Ltd.,IT Consulting & Software,70,Software & Services,1,67.30749916666667331810458563268184661865234375
ADVANIHOTR,523269,INE199C01026,Advani Hotels & Resorts (India) Ltd.,Hotels,56,Hotels Restaurants & Tourism,30,46.5330555555555491764607722871005535125732421875
AEGISLOG,500003,INE208C01025,Aegis Logistics Ltd.,Oil Marketing & Distribution,83,Oil & Gas,12,63.4747213888888808241972583346068859100341796875
INSPIRISYS,532774,INE020G01017,Inspirisys Solutions Ltd.,IT Consulting & Software,70,Software & Services,1,65.7602777777777731671449146233499050140380859375
AGARIND,531921,INE204E01012,Agarwal Industrial Corporation Ltd.,Petrochemicals,98,Chemicals & Petrochemicals,2,61.5863880555555596174599486403167247772216796875
BBOX,500463,INE676A01027,Black Box Ltd.,IT Consulting & Software,70,Software & Services,1,60.1494452777777723895269446074962615966796875
AGRITECH,537292,INE449G01018,Agri-Tech (India) Ltd.,Other Agricultural Products,84,Food Beverages & Tobacco,4,
AHLEAST,533227,INE926K01017,Asian Hotels (East) Ltd.,Hotels,56,Hotels Restaurants & Tourism,30,53.89527694444443994825633126311004161834716796875
AHLUCONT,532811,INE758C01029,Ahluwalia Contracts (India) Ltd.,Construction & Engineering,26,Cement and Construction ,26,59.490834166666672899737022817134857177734375
AIAENG,532683,INE212H01026,AIA Engineering Ltd.,Other Industrial Goods,89,General Industrials,24,52.2699991666666647915917565114796161651611328125
AICHAMP,532806,INE768E01024,AI Champdany Industries Ltd.,Jute & Jute Products,74,Textiles Apparels & Accessories,8,26.398889722222218523484116303734481334686279296875
GEPIL,532309,INE878A01011,GE Power India Ltd.,Heavy Electrical Equipment,54,General Industrials,24,40.54694444444444201280930428765714168548583984375
AJANTPHARM,532331,INE031B01049,Ajanta Pharma Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,63.3472213888888830979340127669274806976318359375
AJMERA,513349,INE298G01027,Ajmera Realty & Infra India Ltd.,Realty,103,Realty,18,62.64194527777777210530985030345618724822998046875
AKSHOPTFBR,532351,INE523B01011,Aksh Optifibre Ltd.,Telecom Cables,116,Telecommunications Equipment,22,36.7066658333333322161706746555864810943603515625
AKZOINDIA,500710,INE133A01011,Akzo Nobel India Ltd.,Furniture-Furnishing-Paints,49,Diversified Consumer Services,15,62.6086102777777711025919415988028049468994140625
ALEMBICLTD,506235,INE426A01027,Alembic Ltd.,Realty,103,Realty,18,57.22499916666667019171654828824102878570556640625
ALICON,531147,INE062D01024,Alicon Castalloy Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,69.4305563888888883639083360321819782257080078125
ALKALI,533029,INE773I01017,Alkali Metals Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,48.71833416666667204708573990501463413238525390625
ALKYLAMINE,506767,INE150B01039,Alkyl Amines Chemicals Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,45.7330555555555520186317153275012969970703125
ALLCARGO,532749,INE418H01029,Allcargo Logistics Ltd.,Transportation - Logistics,120,Transportation,9,24.8177786111111089439873467199504375457763671875
ALLDIGI,532633,INE835G01018,Alldigi Tech Ltd.,BPO/KPO,13,Software & Services,1,68.2947213888888882138417102396488189697265625
ALMONDZ,531400,INE326B01035,Almondz Global Securities Ltd.,Capital Markets,126,Banking and Finance,21,61.8372230555555546516188769601285457611083984375
ALOKINDS,521070,INE270A01029,Alok Industries Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
ALPA,532878,INE385I01010,Alpa Laboratories Ltd.,Biotechnology,12,Pharmaceuticals & Biotechnology,17,71.6863888888888851624869857914745807647705078125
ALPHAGEO,526397,INE137C01018,Alphageo (India) Ltd.,Oil Equipment & Services,82,Oil & Gas,12,62.561110277777771671026130206882953643798828125
ALPINEHOU,526519,INE840D01015,Alpine Housing Development Corporation Ltd.,Realty,103,Realty,18,68.3983324999999950932760839350521564483642578125
ALPSINDUS,530715,INE093B01015,Alps Industries Ltd.,Textiles,119,Textiles Apparels & Accessories,8,
GET&D,522275,INE200A01026,GE T&D India Ltd.,Industrial Machinery,62,General Industrials,24,70.659999999999996589394868351519107818603515625
ARE&M,500008,INE885A01032,Amara Raja Energy & Mobility Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,56.80888805555554910142745939083397388458251953125
AMARJOTHI,521097,INE484D01012,Amarjothi Spinning Mills Ltd.,Textiles,119,Textiles Apparels & Accessories,8,56.4686119444444472037503146566450595855712890625
AMBIKCO,531978,INE540G01014,Ambika Cotton Mills Ltd.,Textiles,119,Textiles Apparels & Accessories,8,42.9233333333333320069868932478129863739013671875
AMBUJACEM,500425,INE079A01024,Ambuja Cements Ltd.,Cement & Cement Products,18,Cement and Construction ,26,63.78555638888889234294765628874301910400390625
AMDIND,532828,INE005I01014,AMD Industries Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,43.1391658333333367636441835202276706695556640625
AMRUTANJAN,590006,INE098F01031,Amrutanjan Health Care Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,53.84777777777777174605944310314953327178955078125
AMTL,534612,INE436N01029,Advance Metering Technology Ltd.,Electric Utilities,39,Utilities,28,
ANANTRAJ,515055,INE242C01024,Anant Raj Ltd.,Realty,103,Realty,18,59.3208341666666711944344569928944110870361328125
ACL,532141,INE666E01020,Andhra Cements Ltd.,Cement & Cement Products,18,Cement and Construction ,26,25.23972222222221972742772777564823627471923828125
ANDHRSUGAR,590062,INE715B01021,Andhra Sugars Ltd.,Commodity Chemicals,22,Chemicals & Petrochemicals,2,53.8363880555555596174599486403167247772216796875
ANIKINDS,519383,INE087B01017,Anik Industries Ltd.,Diversified,36,Diversified,11,60.9502777777777708934081601910293102264404296875
ANKITMETAL,532870,INE106I01010,Ankit Metal & Power Ltd.,Iron & Steel/Interm.Products,68,Metals & Mining,13,
ANSALAPI,500013,INE436A01026,Ansal Properties & Infrastructure Ltd.,Realty,103,Realty,18,
ANSALHSG,507828,INE880B01015,Ansal Housing Ltd.,Realty,103,Realty,18,79.548056388888880974263884127140045166015625
ANTGRAPHIC,526715,INE414B01021,Antarctica Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,
APARINDS,532259,INE372A01015,Apar Industries Ltd.,Other Electrical Equipment/Products,86,Consumer Durables,23,49.08694444444444116015802137553691864013671875
APCOTEXIND,523694,INE116A01032,Apcotex Industries Ltd.,Auto Tyres & Rubber Products,10,Automobiles & Auto Components,20,40.17277694444444335886146291159093379974365234375
APLAB,517096,INE273A01015,Aplab Ltd.,Other Electrical Equipment/Products,86,Consumer Durables,23,51.63944527777777437904660473577678203582763671875
APLAPOLLO,533758,INE702C01027,APL Apollo Tubes Ltd.,Iron & Steel Products,69,Metals & Mining,13,40.806944444444440023289644159376621246337890625
APLLTD,533573,INE901L01018,Alembic Pharmaceuticals Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,71.99750000000000227373675443232059478759765625
APOLLOHOSP,508869,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare Facilities,51,Diversified Consumer Services,15,49.85722305555555777800691430456936359405517578125
APOLLOTYRE,500877,INE438A01022,Apollo Tyres Ltd.,Auto Tyres & Rubber Products,10,Automobiles & Auto Components,20,75.472499999999996589394868351519107818603515625
APTECHT,532475,INE266F01018,Aptech Ltd.,IT Training Services,73,Software & Services,1,32.1175008333333380505791865289211273193359375
ARCHIDPLY,532994,INE877I01016,Archidply Industries Ltd.,Forest Products,48,Forest Materials,16,49.1044444444444394548554555512964725494384765625
ARCHIES,532212,INE731A01020,Archies Ltd.,Gift Articles-Toys & Cards ,50,Retailing,6,34.4458333333333399650655337609350681304931640625
ARIES,532935,INE298I01015,Aries Agro Ltd.,Agrochemicals,5,Chemicals & Petrochemicals,2,74.8472213888888830979340127669274806976318359375
531381,531381,INE413D01011,Arihant Foundations & Housing Ltd.,Realty,103,Realty,18,80.2625000000000028421709430404007434844970703125
AROGRANITE,513729,INE210C01013,Aro Granite Industries Ltd.,Construction Materials,27,Cement and Construction ,26,68.7944452777777684104876243509352207183837890625
ARSHIYA,506074,INE968D01022,Arshiya Ltd.,Transportation - Logistics,120,Transportation,9,31.63416583333333420569033478386700153350830078125
ARSSINFRA,533163,INE267I01010,ARSS Infrastructure Projects Ltd.,Construction & Engineering,26,Cement and Construction ,26,
ARVIND,500101,INE034A01011,Arvind Ltd.,Textiles,119,Textiles Apparels & Accessories,8,56.12333416666666607852675952017307281494140625
ASAHIINDIA,515030,INE439A01020,Asahi India Glass Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,44.20694444444444570763153024017810821533203125
ASAHISONG,532853,INE228I01012,Asahi Songwon Colors Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,64.87416666666666742457891814410686492919921875
ASAL,520119,INE900C01027,Automotive Stampings and Assemblies Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,
ASHAPURMIN,527001,INE348A01023,Ashapura Minechem Ltd.,Mining,77,Metals & Mining,13,57.2755555555555559976710355840623378753662109375
ASHIANA,523716,INE365D01021,Ashiana Housing Ltd.,Realty,103,Realty,18,63.7813888888888840256186085753142833709716796875
ASHIMASYN,514286,INE440A01010,Ashima Ltd.,Textiles,119,Textiles Apparels & Accessories,8,63.4013880555555573437231942079961299896240234375
ASHOKA,533271,INE442H01029,Ashoka Buildcon Ltd.,Roads & Highways,106,Cement and Construction ,26,73.6694452777777684104876243509352207183837890625
ASHOKLEY,500477,INE208A01029,Ashok Leyland Ltd.,Commercial Vehicles,21,Automobiles & Auto Components,20,45.3527769444444430746443686075508594512939453125
ASIANHOTNR,500023,INE363A01022,Asian Hotels (North) Ltd.,Hotels,56,Hotels Restaurants & Tourism,30,
ASIANPAINT,500820,INE021A01026,Asian Paints Ltd.,Furniture-Furnishing-Paints,49,Diversified Consumer Services,15,53.3169452777777763685662648640573024749755859375
ASIANTILES,532888,INE022I01019,Asian Granito India Ltd.,Furniture-Furnishing-Paints,49,Diversified Consumer Services,15,38.80583333333333229120398755185306072235107421875
ASTEC,533138,INE563J01010,Astec Lifesciences Ltd.,Agrochemicals,5,Chemicals & Petrochemicals,2,26.753889722222222502523436560295522212982177734375
ASTRAL,532830,INE006I01046,Astral Ltd.,Plastic Products,101,General Industrials,24,52.4202777777777697565397829748690128326416015625
ASTRAMICRO,532493,INE386C01029,Astra Microwave Products Ltd.,Defence,33,General Industrials,24,48.2422230555555557884872541762888431549072265625
ASTRAZEN,506820,INE203A01020,AstraZeneca Pharma India Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,52.2961102777777711025919415988028049468994140625
ATFL,500215,INE209A01019,Agro Tech Foods Ltd.,Edible Oils,37,FMCG,7,53.93166666666667197205242700874805450439453125
ATLANTAA,532759,INE285H01022,Atlantaa Ltd,Construction & Engineering,26,Cement and Construction ,26,
ATUL,500027,INE100A01010,Atul Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,50.0597230555555512410137453116476535797119140625
ATULAUTO,531795,INE951D01028,Atul Auto Ltd.,2/3 Wheelers,2,Automobiles & Auto Components,20,52.36055555555554974489496089518070220947265625
AURIONPRO,532668,INE132H01018,Aurionpro Solutions Ltd.,IT Software Products,72,Software & Services,1,50.50305555555555514501975267194211483001708984375
AUROPHARMA,524804,INE406A01037,Aurobindo Pharma Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,64.686110277777771671026130206882953643798828125
AUSOMENT,509009,INE218C01016,Ausom Enterprise Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,81.116388888888877772842533886432647705078125
AUTOAXLES,505010,INE449A01011,Automotive Axles Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,58.65083416666667659455924876965582370758056640625
AUTOIND,532797,INE718H01014,Autoline Industries Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,56.637223055555551809447933919727802276611328125
AVANTIFEED,512573,INE871C01038,Avanti Feeds Ltd.,Other Food Products,88,Food Beverages & Tobacco,4,61.2983341666666774472105316817760467529296875
AVTNPL,519105,INE488D01021,AVT Natural Products Ltd.,Other Agricultural Products,84,Food Beverages & Tobacco,4,49.515555555555550881763338111340999603271484375
AXISBANK,532215,INE238A01034,Axis Bank Ltd.,Banks,11,Banking and Finance,21,51.11277694444444108512470847927033901214599609375
AXISCADES,532395,INE555B01013,AXISCADES Technologies Ltd.,BPO/KPO,13,Software & Services,1,49.32249916666666678111141663976013660430908203125
BAFNAPH,532989,INE878I01022,Bafna Pharmaceuticals Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,44.013888055555554501552251167595386505126953125
BAGFILMS,532507,INE116D01028,BAG Films & Media Ltd.,Broadcasting & Cable TV,15,Media,3,73.074721388888889350710087455809116363525390625
BAJAJ-AUTO,532977,INE917I01010,Bajaj Auto Ltd.,2/3 Wheelers,2,Automobiles & Auto Components,20,54.2208341666666768787763430736958980560302734375
BAJAJCON,533229,INE933K01021,Bajaj Consumer Care Ltd.,Personal Products,97,FMCG,7,50.86638805555554654347361065447330474853515625
BAJAJELEC,500031,INE193E01025,Bajaj Electricals Ltd.,Household Appliances,57,Consumer Durables,23,34.90694444444444144437511567957699298858642578125
BAJAJFINSV,532978,INE918I01026,Bajaj Finserv Ltd.,Holding Companies,55,Diversified,11,39.49083333333333456494074198417365550994873046875
BAJAJHIND,500032,INE306A01021,Bajaj Hindusthan Sugar Ltd.,Sugar,112,Food Beverages & Tobacco,4,43.6294444444444451391973416320979595184326171875
BAJAJHLDNG,500490,INE118A01012,Bajaj Holdings & Investment Ltd.,Holding Companies,55,Diversified,11,65.881110277777764849815866909921169281005859375
BAJFINANCE,500034,INE296A01024,Bajaj Finance Ltd.,Finance (including NBFCs),44,Banking and Finance,21,38.908333333333331438552704639732837677001953125
BALAJITELE,532382,INE794B01026,Balaji Telefilms Ltd.,Broadcasting & Cable TV,15,Media,3,66.4947213888888910560126532800495624542236328125
BALAMINES,530999,INE050E01027,Balaji Amines Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,48.2755555555555559976710355840623378753662109375
BALKRISIND,502355,INE787D01026,Balkrishna Industries Ltd.,Auto Tyres & Rubber Products,10,Automobiles & Auto Components,20,64.4363888888888851624869857914745807647705078125
BALMLAWRIE,523319,INE164A01016,Balmer Lawrie & Company Ltd.,Diversified,36,Diversified,11,66.302777777777777146184234879910945892333984375
BALPHARMA,524824,INE083D01012,Bal Pharma Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,72.2677777777777663459346513263881206512451171875
BALRAMCHIN,500038,INE119A01028,Balrampur Chini Mills Ltd.,Sugar,112,Food Beverages & Tobacco,4,71.4613888888888908468288718722760677337646484375
BANARBEADS,526849,INE655B01011,Banaras Beads Ltd.,Other Apparels & Accessories,85,Textiles Apparels & Accessories,8,
BANARISUG,500041,INE459A01010,Bannari Amman Sugars Ltd.,Sugar,112,Food Beverages & Tobacco,4,73.11388888888888004657928831875324249267578125
BANCOINDIA,500039,INE213C01025,Banco Products (India) Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,70.9372213888888865085391444154083728790283203125
BANG,532946,INE863I01016,Bang Overseas Ltd.,Other Apparels & Accessories,85,Textiles Apparels & Accessories,8,43.75194444444444030750673846341669559478759765625
BANKBARODA,532134,INE028A01039,Bank of Baroda,Banks,11,Banking and Finance,21,55.034723055555559767526574432849884033203125
BANKINDIA,532149,INE084A01016,Bank of India,Banks,11,Banking and Finance,21,44.6291658333333316477364860475063323974609375
BANSWRAS,503722,INE629D01020,Banswara Syntex Ltd.,Textiles,119,Textiles Apparels & Accessories,8,54.508055555555557702973601408302783966064453125
ASMS,532694,INE855F01042,Bartronics India Ltd.,Misc. Commercial Services,78,Commercial Services & Supplies,25,37.799444444444446844499907456338405609130859375
BASF,500042,INE373A01013,BASF India Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,65.831945277777776937000453472137451171875
BASML,532674,INE186H01022,Bannari Amman Spinning Mills Ltd.,Textiles,119,Textiles Apparels & Accessories,8,50.9094444444444462760657188482582569122314453125
BATAINDIA,500043,INE176A01028,Bata India Ltd.,Footwear,47,Retailing,6,54.491945277777773526395321823656558990478515625
BAYERCROP,506285,INE462A01022,Bayer Cropscience Ltd.,Agrochemicals,5,Chemicals & Petrochemicals,2,55.32916666666667282470370992086827754974365234375
BBL,503960,INE464A01036,Bharat Bijlee Ltd.,Other Electrical Equipment/Products,86,Consumer Durables,23,68.455556388888879837395506910979747772216796875
BBTC,501425,INE050A01025,Bombay Burmah Trading Corporation Ltd.,Packaged Foods,95,FMCG,7,78.0372213888888808241972583346068859100341796875
BEARDSELL,539447,INE520H01022,Beardsell Ltd.,Containers & Packaging,30,Commercial Services & Supplies,25,66.810277777777770324973971582949161529541015625
BEDMUTHA,533270,INE844K01012,Bedmutha Industries Ltd.,Iron & Steel Products,69,Metals & Mining,13,71.1825000000000045474735088646411895751953125
BEL,500049,INE263A01024,Bharat Electronics Ltd.,Defence,33,General Industrials,24,66.474167499999992969605955295264720916748046875
BEML,500048,INE258A01016,BEML Ltd.,Commercial Vehicles,21,Automobiles & Auto Components,20,69.3541675000000026329871616326272487640380859375
BEPL,500052,INE922A01025,Bhansali Engineering Polymers Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,66.689445277777764431448304094374179840087890625
BERGEPAINT,509480,INE463A01038,Berger Paints (India) Ltd.,Furniture-Furnishing-Paints,49,Diversified Consumer Services,15,61.766388888888883457184419967234134674072265625
BFINVEST,533303,INE878K01010,BF Investment Ltd.,Holding Companies,55,Diversified,11,75.4355563888888838164348271675407886505126953125
BFUTILITIE,532430,INE243D01012,BF Utilities Ltd.,Electric Utilities,39,Utilities,28,
BGLOBAL,533499,INE224M01013,Bharatiya Global Infomedia Ltd.,IT Consulting & Software,70,Software & Services,1,
BGRENERGY,532930,INE661I01014,BGR Energy Systems Ltd.,Electric Utilities,39,Utilities,28,
BHAGYANGR,512296,INE458B01036,Bhagyanagar India Ltd.,Copper,31,Metals & Mining,13,70.952221388888887076973333023488521575927734375
BHARATFORG,500493,INE465A01025,Bharat Forge Ltd.,Other Industrial Products,90,General Industrials,24,62.00055638888888864812543033622205257415771484375
BHARATGEAR,505688,INE561C01019,Bharat Gears Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,39.3533333333333388281971565447747707366943359375
BHARATRAS,590021,INE838B01013,Bharat Rasayan Ltd.,Agrochemicals,5,Chemicals & Petrochemicals,2,50.36055555555554974489496089518070220947265625
BHARTIARTL,532454,INE397D01024,Bharti Airtel Ltd.,Telecom Services,118,Telecom Services,10,54.490834166666672899737022817134857177734375
BHEL,500103,INE257A01026,Bharat Heavy Electricals Ltd.,Heavy Electrical Equipment,54,General Industrials,24,41.97472305555555749378982000052928924560546875
BIL,526666,INE828A01016,Bhartiya International Ltd.,Other Apparels & Accessories,85,Textiles Apparels & Accessories,8,50.5952769444444356849999167025089263916015625
BIMETAL,505681,INE469A01019,Bimetal Bearings Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,48.554444444444442297026398591697216033935546875
BINANIIND,500059,INE071A01013,Binani Industries Ltd.,Advertising & Media,3,Media,3,
OSWALGREEN,539290,INE143A01010,Oswal Green Tech Ltd.,Other Financial Services,87,Banking and Finance,21,49.24055555555555230284880963154137134552001953125
BIOCON,532523,INE376G01013,Biocon Ltd.,Biotechnology,12,Pharmaceuticals & Biotechnology,17,62.5499991666666659284601337276399135589599609375
BIRLACORPN,500335,INE340A01012,Birla Corporation Ltd.,Cement & Cement Products,18,Cement and Construction ,26,71.22805638888888779547414742410182952880859375
BIRLACABLE,500060,INE800A01015,Birla Cable Ltd.,Telecom Cables,116,Telecommunications Equipment,22,39.69277694444443937982214265502989292144775390625
BIRLAMONEY,532974,INE865C01022,Aditya Birla Money Ltd.,Capital Markets,126,Banking and Finance,21,54.33055555555555571345394128002226352691650390625
BLBLIMITED,532290,INE791A01024,BLB Ltd.,Other Financial Services,87,Banking and Finance,21,68.4452777777777754408816690556704998016357421875
BLISSGVS,506197,INE416D01022,Bliss GVS Pharma Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,73.6113888888888823203160427510738372802734375
BLKASHYAP,532719,INE350H01032,B L Kashyap & Sons Ltd.,Construction & Engineering,26,Cement and Construction ,26,72.25749999999999317878973670303821563720703125
BLUECHIP,531936,INE657B01025,Blue Chip India Ltd.,Other Financial Services,87,Banking and Finance,21,
BLUECOAST,531495,INE472B01011,Blue Coast Hotels Ltd.,Hotels,56,Hotels Restaurants & Tourism,30,
BLUEDART,526612,INE233B01017,Blue Dart Express Ltd.,Transportation - Logistics,120,Transportation,9,50.2155555555555537239342811517417430877685546875
BLUESTARCO,500067,INE472A01039,Blue Star Ltd.,Consumer Electronics,29,Consumer Durables,23,49.4988880555555539331180625595152378082275390625
BODALCHEM,524370,INE338D01028,Bodal Chemicals Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,50.2486119444444483406186918728053569793701171875
BOMDYEING,500020,INE032A01023,Bombay Dyeing & Manufacturing Company Ltd.,Textiles,119,Textiles Apparels & Accessories,8,70.1033341666666700575660797767341136932373046875
BOSCHLTD,500530,INE323A01026,Bosch Ltd.,Auto Parts & Equipment,9,Automobiles & Auto Components,20,66.1455563888888917745134676806628704071044921875
BPCL,500547,INE029A01011,Bharat Petroleum Corporation Ltd.,Refineries/Petro-Products,104,Oil & Gas,12,65.7549991666666784340122831054031848907470703125
BPL,500074,INE110A01019,BPL Ltd.,Consumer Electronics,29,Consumer Durables,23,65.46611027777777280789450742304325103759765625
BRIGADE,532929,INE791I01019,Brigade Enterprises Ltd.,Realty,103,Realty,18,49.948055555555555429236846975982189178466796875
BRITANNIA,500825,INE216A01030,Britannia Industries Ltd.,Packaged Foods,95,FMCG,7,56.8602777777777674828030285425484180450439453125
BROOKS,533543,INE650L01011,Brooks Laboratories Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,41.70611194444444436157937161624431610107421875
BSELINFRA,532123,INE395A01016,BSEL Algo Ltd.,Realty,103,Realty,18,60.81916666666666770879601244814693927764892578125
BSL,514045,INE594B01012,BSL Ltd.,Textiles,119,Textiles Apparels & Accessories,8,48.83611194444444691953322035260498523712158203125
BURNPUR,532931,INE817H01014,Burnpur Cement Ltd.,Cement & Cement Products,18,Cement and Construction ,26,
BUTTERFLY,517421,INE295F01017,Butterfly Gandhimathi Appliances Ltd.,Household Appliances,57,Consumer Durables,23,44.43722305555555607270434848032891750335693359375
BVCL,532916,INE139I01011,Barak Valley Cements Ltd.,Cement & Cement Products,18,Cement and Construction ,26,71.2213888888888817518818541429936885833740234375
ZYDUSLIFE,532321,INE010B01027,Zydus Lifesciences Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,67.28555638888889234294765628874301910400390625
CALSOFT,532386,INE526B01014,California Software Company Ltd.,IT Consulting & Software,70,Software & Services,1,
CANBK,532483,INE476A01022,Canara Bank,Banks,11,Banking and Finance,21,60.9524991666666693390652653761208057403564453125
CANFINHOME,511196,INE477A01020,Can Fin Homes Ltd.,Housing Finance ,60,Banking and Finance,21,58.94749916666666678111141663976013660430908203125
CANTABIL,533267,INE068L01024,Cantabil Retail India Ltd.,Other Apparels & Accessories,85,Textiles Apparels & Accessories,8,51.4922230555555557884872541762888431549072265625
CAPLIPOINT,524742,INE475E01026,Caplin Point Laboratories Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,47.41277694444443824295376543886959552764892578125
CARBORUNIV,513375,INE120A01034,Carborundum Universal Ltd.,Other Industrial Products,90,General Industrials,24,62.195556388888888932342524640262126922607421875
CAREERP,533260,INE521J01018,Career Point Ltd.,Education,38,Diversified Consumer Services,15,66.1349991666666738865387742407619953155517578125
CARERATING,534804,INE752H01013,CARE Ratings Ltd.,Other Financial Services,87,Banking and Finance,21,44.06444444444444030750673846341669559478759765625
CASTROLIND,500870,INE172A01027,Castrol India Ltd.,Oil Marketing & Distribution,83,Oil & Gas,12,49.5455555555555520186317153275012969970703125
CCCL,532902,INE429I01024,Consolidated Construction Consortium Ltd.,Construction & Engineering,26,Cement and Construction ,26,64.440555555555562250447110272943973541259765625
CCL,519600,INE421D01022,CCL Products India Ltd.,Tea & Coffee,114,Food Beverages & Tobacco,4,38.77250083333333208202020614407956600189208984375
CEATLTD,500878,INE482A01020,Ceat Ltd.,Auto Tyres & Rubber Products,10,Automobiles & Auto Components,20,75.758888888888890278394683264195919036865234375
JWL,533272,INE209L01016,Jupiter Wagons Ltd.,Commercial Vehicles,21,Automobiles & Auto Components,20,52.92416666666667168783533270470798015594482421875
CELEBRITY,532695,INE185H01016,Celebrity Fashions Ltd.,Textiles,119,Textiles Apparels & Accessories,8,48.7399991666666636547233792953193187713623046875
CENTENKA,500280,INE485A01015,Century Enka Ltd.,Textiles,119,Textiles Apparels & Accessories,8,60.7583341666666711944344569928944110870361328125
